university,name
http://www.wikidata.org/entity/Q390087,Xavier University of Louisiana
http://www.wikidata.org/entity/Q391150,Henan University
http://www.wikidata.org/entity/Q134122,Tomás Frías Autonomous University
http://www.wikidata.org/entity/Q135058,Pyongyang University of Music and Dance
http://www.wikidata.org/entity/Q137006,Guangxi Normal University
http://www.wikidata.org/entity/Q137355,Voronezh State Agrarian University
http://www.wikidata.org/entity/Q280824,Eindhoven University of Technology
http://www.wikidata.org/entity/Q281572,Andrássy University Budapest
http://www.wikidata.org/entity/Q282645,Mediterranean University
http://www.wikidata.org/entity/Q282885,Kochi University of Technology
http://www.wikidata.org/entity/Q283032,Pondicherry University
http://www.wikidata.org/entity/Q283204,Sakon Nakhon Rajabhat University
http://www.wikidata.org/entity/Q284508,Friends University
http://www.wikidata.org/entity/Q276599,Kanazawa College of Art
http://www.wikidata.org/entity/Q277664,Tampere University of Technology
http://www.wikidata.org/entity/Q277681,Semmelweis University
http://www.wikidata.org/entity/Q285382,Budapest University of Jewish Studies
http://www.wikidata.org/entity/Q286325,National Conservatory of Argentina
http://www.wikidata.org/entity/Q287299,Iași University of Life Sciences
http://www.wikidata.org/entity/Q288605,al-Aqsa University
http://www.wikidata.org/entity/Q289348,London South Bank University
http://www.wikidata.org/entity/Q290456,Osaka Prefecture University
http://www.wikidata.org/entity/Q290662,Maputo University
http://www.wikidata.org/entity/Q16955,Tsinghua University
http://www.wikidata.org/entity/Q406402,University of Mumbai
http://www.wikidata.org/entity/Q407875,Air University
http://www.wikidata.org/entity/Q411895,Riga Technical University
http://www.wikidata.org/entity/Q427141,Ghislieri College
http://www.wikidata.org/entity/Q427677,Al-Farabi Kazakh National University
http://www.wikidata.org/entity/Q427778,John B. Lacson Foundation Maritime University
http://www.wikidata.org/entity/Q428136,University of Ez-Zitouna
http://www.wikidata.org/entity/Q29731,Universidad Mayor
http://www.wikidata.org/entity/Q31249,Kansas State University
http://www.wikidata.org/entity/Q31458,Far East State Humanitarian University
http://www.wikidata.org/entity/Q31867,"National University, Costa Rica"
http://www.wikidata.org/entity/Q32287,Charter Oak State College
http://www.wikidata.org/entity/Q165053,Anna University
http://www.wikidata.org/entity/Q165980,University of Vienna
http://www.wikidata.org/entity/Q257655,China Agricultural University
http://www.wikidata.org/entity/Q258286,Benedict International Education Group
http://www.wikidata.org/entity/Q258943,James Madison University
http://www.wikidata.org/entity/Q259394,Hyogo University of Teacher Education
http://www.wikidata.org/entity/Q261506,Makerere University
http://www.wikidata.org/entity/Q270272,The Rockefeller University
http://www.wikidata.org/entity/Q273536,Paris School of Economics
http://www.wikidata.org/entity/Q274486,Waseda University
http://www.wikidata.org/entity/Q118038,Burgas Free University
http://www.wikidata.org/entity/Q118736,Independent University of Moscow
http://www.wikidata.org/entity/Q118783,Megatrend University
http://www.wikidata.org/entity/Q124882,IT University of Copenhagen
http://www.wikidata.org/entity/Q125623,Kinnaird College for Women
http://www.wikidata.org/entity/Q127745,L. N. Gumilyov Eurasian National University
http://www.wikidata.org/entity/Q496536,Kyung Hee University
http://www.wikidata.org/entity/Q497033,Razi University
http://www.wikidata.org/entity/Q497488,Incheon National University
http://www.wikidata.org/entity/Q497766,Yewon Arts University
http://www.wikidata.org/entity/Q498401,University of Stavanger
http://www.wikidata.org/entity/Q498407,University of Latvia
http://www.wikidata.org/entity/Q498451,Northwestern Polytechnic University
http://www.wikidata.org/entity/Q498526,San José State University
http://www.wikidata.org/entity/Q161562,California Institute of Technology
http://www.wikidata.org/entity/Q494179,Singapore University of Social Sciences
http://www.wikidata.org/entity/Q494638,Andong National University
http://www.wikidata.org/entity/Q495015,Fudan University
http://www.wikidata.org/entity/Q495032,Benemérita Universidad Autónoma de Puebla
http://www.wikidata.org/entity/Q145501,Zambia Forestry College
http://www.wikidata.org/entity/Q149990,University of Rochester
http://www.wikidata.org/entity/Q155522,Varna Free University
http://www.wikidata.org/entity/Q315658,University of Wrocław
http://www.wikidata.org/entity/Q316272,EBS University of Business and Law
http://www.wikidata.org/entity/Q316592,University of Wittenberg
http://www.wikidata.org/entity/Q156598,Leiden University
http://www.wikidata.org/entity/Q29052,Vanderbilt University
http://www.wikidata.org/entity/Q29131,IAIN Ambon
http://www.wikidata.org/entity/Q29716,Universidad Autónoma de Nuevo León
http://www.wikidata.org/entity/Q29718,Carlos V
http://www.wikidata.org/entity/Q491127,Dankook University
http://www.wikidata.org/entity/Q491511,Hongik University
http://www.wikidata.org/entity/Q491597,Korea National Open University
http://www.wikidata.org/entity/Q491711,Sejong University
http://www.wikidata.org/entity/Q39944,Pyongyang University of Foreign Studies
http://www.wikidata.org/entity/Q39980,Kim Il-sung Military University
http://www.wikidata.org/entity/Q39997,Korea University
http://www.wikidata.org/entity/Q40000,Kim Chaek University of Technology
http://www.wikidata.org/entity/Q314466,University of Helmstedt
http://www.wikidata.org/entity/Q314536,Norwegian University of Science and Technology
http://www.wikidata.org/entity/Q519427,University of Denver
http://www.wikidata.org/entity/Q519556,National Southwestern Associated University
http://www.wikidata.org/entity/Q521612,Folkwang University of the Arts
http://www.wikidata.org/entity/Q414481,Royal Academy of Turku
http://www.wikidata.org/entity/Q419339,Akita International University
http://www.wikidata.org/entity/Q420181,Aklan State University
http://www.wikidata.org/entity/Q423303,Cavite State University
http://www.wikidata.org/entity/Q426045,University of Malta
http://www.wikidata.org/entity/Q137360,Omsk State Agrarian University
http://www.wikidata.org/entity/Q137503,University of Łódź
http://www.wikidata.org/entity/Q140571,Gavar State University
http://www.wikidata.org/entity/Q142617,Tata Institute of Fundamental Research
http://www.wikidata.org/entity/Q292489,Al-Azhar University – Gaza
http://www.wikidata.org/entity/Q296709,Oil & Gas University of Ploiești
http://www.wikidata.org/entity/Q302448,Vietnam Aviation Academy
http://www.wikidata.org/entity/Q302940,Shenyang Ligong University
http://www.wikidata.org/entity/Q307065,Abkhazian State University
http://www.wikidata.org/entity/Q308329,Abdou Moumouni University
http://www.wikidata.org/entity/Q309350,Northwestern University
http://www.wikidata.org/entity/Q166202,Chungwoon University
http://www.wikidata.org/entity/Q168458,Universidade Autónoma de Lisboa
http://www.wikidata.org/entity/Q168751,Duke University
http://www.wikidata.org/entity/Q41738,Catholic University of Korea
http://www.wikidata.org/entity/Q41790,Chung-Ang University
http://www.wikidata.org/entity/Q495258,University of Bacău
http://www.wikidata.org/entity/Q495343,University of Arak
http://www.wikidata.org/entity/Q495504,National Autonomous University of Nicaragua
http://www.wikidata.org/entity/Q495631,Ensenada Center for Scientific Research and Higher Education
http://www.wikidata.org/entity/Q495911,Soochow University
http://www.wikidata.org/entity/Q495957,Medical University of Łódź
http://www.wikidata.org/entity/Q500606,University of South Florida
http://www.wikidata.org/entity/Q501758,University of Florida
http://www.wikidata.org/entity/Q413829,Józef Piłsudski University of Physical Education in Warsaw
http://www.wikidata.org/entity/Q414066,"Academy of Fine Arts, Warsaw"
http://www.wikidata.org/entity/Q501841,University of Turku
http://www.wikidata.org/entity/Q502336,Karnatak University
http://www.wikidata.org/entity/Q525169,Shanghai Jiao Tong University
http://www.wikidata.org/entity/Q532822,University of Sassari
http://www.wikidata.org/entity/Q534643,University of the Witwatersrand
http://www.wikidata.org/entity/Q429561,Wichita State University
http://www.wikidata.org/entity/Q429863,Florida Atlantic University
http://www.wikidata.org/entity/Q432475,University of Canterbury
http://www.wikidata.org/entity/Q32393,Namangan State University
http://www.wikidata.org/entity/Q37548,Northeastern University
http://www.wikidata.org/entity/Q37765,Nahrain University
http://www.wikidata.org/entity/Q39920,Kim Il-sung University
http://www.wikidata.org/entity/Q277872,Moscow University for the Humanities
http://www.wikidata.org/entity/Q279724,University of Tromsø – The Arctic University of Norway
http://www.wikidata.org/entity/Q280247,Fluminense Federal University
http://www.wikidata.org/entity/Q169913,McGhee Center for Eastern Mediterranean Studies
http://www.wikidata.org/entity/Q170027,University of London
http://www.wikidata.org/entity/Q337382,Acadia University
http://www.wikidata.org/entity/Q337461,Académie Louvain
http://www.wikidata.org/entity/Q338481,Academy of Fine Arts
http://www.wikidata.org/entity/Q482759,Jeonju University
http://www.wikidata.org/entity/Q482819,Sangmyung University
http://www.wikidata.org/entity/Q482952,Sunchon National University
http://www.wikidata.org/entity/Q483032,Myongji University
http://www.wikidata.org/entity/Q483064,University of the Nations
http://www.wikidata.org/entity/Q41506,Stanford University
http://www.wikidata.org/entity/Q46756,Kenyatta University
http://www.wikidata.org/entity/Q47927,Muhammadiyah University of Malang
http://www.wikidata.org/entity/Q49041,Allen University
http://www.wikidata.org/entity/Q49089,University of Maryland Eastern Shore
http://www.wikidata.org/entity/Q49108,Massachusetts Institute of Technology
http://www.wikidata.org/entity/Q40006,Hanyang University
http://www.wikidata.org/entity/Q40018,Pohang University of Science and Technology
http://www.wikidata.org/entity/Q41114,Ewha Womans University
http://www.wikidata.org/entity/Q436350,University of Duisburg
http://www.wikidata.org/entity/Q442106,National University of Callao
http://www.wikidata.org/entity/Q448403,Buckinghamshire New University
http://www.wikidata.org/entity/Q450587,Alzahra University
http://www.wikidata.org/entity/Q452406,Kasetsart University
http://www.wikidata.org/entity/Q457793,Federico Santa María Technical University
http://www.wikidata.org/entity/Q458467,Sudan University of Science and Technology
http://www.wikidata.org/entity/Q174220,Siberian State Aerospace University
http://www.wikidata.org/entity/Q174710,"University of California, Los Angeles"
http://www.wikidata.org/entity/Q173959,Prifysgol Al-Azhar
http://www.wikidata.org/entity/Q174158,Hebrew University of Jerusalem
http://www.wikidata.org/entity/Q49118,Boston College
http://www.wikidata.org/entity/Q467174,American University of Madaba
http://www.wikidata.org/entity/Q469446,American University of Rome
http://www.wikidata.org/entity/Q469476,The American University in Cairo
http://www.wikidata.org/entity/Q469484,American University in Bulgaria
http://www.wikidata.org/entity/Q470963,Fuzhou University
http://www.wikidata.org/entity/Q462576,Nagoya City University
http://www.wikidata.org/entity/Q462588,Kansai Gaidai University
http://www.wikidata.org/entity/Q465922,Gdańsk University of Technology
http://www.wikidata.org/entity/Q467144,American University in Dubai
http://www.wikidata.org/entity/Q467164,American University of Armenia
http://www.wikidata.org/entity/Q477625,Mzuzu University
http://www.wikidata.org/entity/Q478044,Hasanuddin University
http://www.wikidata.org/entity/Q478948,Yeditepe University
http://www.wikidata.org/entity/Q481659,Universitas Istropolitana
http://www.wikidata.org/entity/Q482648,Yong In University
http://www.wikidata.org/entity/Q541927,Universidad de Espíritu Santo
http://www.wikidata.org/entity/Q542248,Universidad Santa María
http://www.wikidata.org/entity/Q542498,Ave Maria University
http://www.wikidata.org/entity/Q543394,LIU Post
http://www.wikidata.org/entity/Q545540,Anhui University
http://www.wikidata.org/entity/Q547138,Pan-European University
http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens
http://www.wikidata.org/entity/Q310564,Al-Quds University
http://www.wikidata.org/entity/Q310842,Al-Mustansiriya University
http://www.wikidata.org/entity/Q45817,Sirte University
http://www.wikidata.org/entity/Q45819,Misrata University
http://www.wikidata.org/entity/Q46023,Indian Institute of Management Lucknow
http://www.wikidata.org/entity/Q46210,University of Milan
http://www.wikidata.org/entity/Q175241,University of Antwerp
http://www.wikidata.org/entity/Q175529,John Paul II Catholic University of Lublin
http://www.wikidata.org/entity/Q183170,University of Texas at San Antonio
http://www.wikidata.org/entity/Q185246,Uppsala University
http://www.wikidata.org/entity/Q171249,National Aerospace University – Kharkiv Aviation Institute
http://www.wikidata.org/entity/Q172430,Loyola University New Orleans
http://www.wikidata.org/entity/Q483189,Kyonggi University
http://www.wikidata.org/entity/Q483402,Keimyung University
http://www.wikidata.org/entity/Q483680,Changwon National University
http://www.wikidata.org/entity/Q484108,Ulsan National Institute of Science and Technology
http://www.wikidata.org/entity/Q484154,Gongju National University of Education
http://www.wikidata.org/entity/Q339314,Copperbelt University
http://www.wikidata.org/entity/Q339482,University of Oñati
http://www.wikidata.org/entity/Q339694,Moscow Sun Yat-sen University
http://www.wikidata.org/entity/Q348402,Adam Mickiewicz University in Poznań
http://www.wikidata.org/entity/Q175777,Muban Chombueng Rajabhat University
http://www.wikidata.org/entity/Q176667,Monash South Africa
http://www.wikidata.org/entity/Q178017,Gunma University
http://www.wikidata.org/entity/Q178200,Klaipėda University
http://www.wikidata.org/entity/Q178972,Sun Yat-sen University
http://www.wikidata.org/entity/Q333705,Technion – Israel Institute of Technology
http://www.wikidata.org/entity/Q336264,Kyoto University
http://www.wikidata.org/entity/Q510029,Birzeit University
http://www.wikidata.org/entity/Q514030,Mbarara University of Science and Technology
http://www.wikidata.org/entity/Q517861,El Bosque University
http://www.wikidata.org/entity/Q518851,Sibelius Academy
http://www.wikidata.org/entity/Q519349,Southern Illinois University Edwardsville
http://www.wikidata.org/entity/Q368271,Neisse University
http://www.wikidata.org/entity/Q368329,Khon Kaen University
http://www.wikidata.org/entity/Q368820,Music conservatories of Naples
http://www.wikidata.org/entity/Q368923,Saigon University
http://www.wikidata.org/entity/Q368998,University of Trnava
http://www.wikidata.org/entity/Q369333,Seikei University
http://www.wikidata.org/entity/Q502352,Regent University
http://www.wikidata.org/entity/Q504263,University of Cassino
http://www.wikidata.org/entity/Q506277,Patna University
http://www.wikidata.org/entity/Q508048,University for Continuing Education Krems
http://www.wikidata.org/entity/Q509250,Kogakuin University
http://www.wikidata.org/entity/Q509909,University of Palencia
http://www.wikidata.org/entity/Q323681,Herzen University
http://www.wikidata.org/entity/Q327361,Schiller International University
http://www.wikidata.org/entity/Q328423,Omar Al-Mukhtar University
http://www.wikidata.org/entity/Q193727,Johns Hopkins University
http://www.wikidata.org/entity/Q498532,Youngsan University of Son Studies
http://www.wikidata.org/entity/Q499220,Far Eastern State Technical University
http://www.wikidata.org/entity/Q499911,University of Turin
http://www.wikidata.org/entity/Q500131,Arkansas State University
http://www.wikidata.org/entity/Q49117,University of Pennsylvania
http://www.wikidata.org/entity/Q188370,Marquette University
http://www.wikidata.org/entity/Q189441,Jagiellonian University
http://www.wikidata.org/entity/Q373311,Daegu Technical University
http://www.wikidata.org/entity/Q319239,Tel Aviv University
http://www.wikidata.org/entity/Q322668,German-Jordanian University
http://www.wikidata.org/entity/Q322964,Moscow State Institute of International Relations
http://www.wikidata.org/entity/Q49110,Boston University
http://www.wikidata.org/entity/Q540672,Auburn University
http://www.wikidata.org/entity/Q540751,Anglia Ruskin University
http://www.wikidata.org/entity/Q1422594,Sam Houston State University
http://www.wikidata.org/entity/Q1424614,University of Pamplona
http://www.wikidata.org/entity/Q1424939,Vimala College
http://www.wikidata.org/entity/Q1424978,Silesian University of Technology
http://www.wikidata.org/entity/Q1425119,Georgian Technical University
http://www.wikidata.org/entity/Q49119,Brandeis University
http://www.wikidata.org/entity/Q49120,Tufts University
http://www.wikidata.org/entity/Q482649,Seoul Institute of the Arts
http://www.wikidata.org/entity/Q482654,Chongshin University
http://www.wikidata.org/entity/Q482658,Eulji University
http://www.wikidata.org/entity/Q482659,Inje University
http://www.wikidata.org/entity/Q482661,Gyeongin National University of Education
http://www.wikidata.org/entity/Q482669,Hanbat National University
http://www.wikidata.org/entity/Q482674,Gyeongnam National University of Science and Technology
http://www.wikidata.org/entity/Q482677,Cheongju National University of Education
http://www.wikidata.org/entity/Q482678,Seoul National University of Science and Technology
http://www.wikidata.org/entity/Q482680,Mokpo National University
http://www.wikidata.org/entity/Q470997,Pontificio Ateneo Sant Anselmo
http://www.wikidata.org/entity/Q472167,University of Winnipeg
http://www.wikidata.org/entity/Q474969,Rangsit University
http://www.wikidata.org/entity/Q475084,Kostroma state university
http://www.wikidata.org/entity/Q476521,King Mongkut's University of Technology Thonburi
http://www.wikidata.org/entity/Q348791,Admiral Makarov National University of Shipbuilding
http://www.wikidata.org/entity/Q350752,Islamic University of Indonesia
http://www.wikidata.org/entity/Q351971,Adams State University
http://www.wikidata.org/entity/Q354333,Silesian University in Opava
http://www.wikidata.org/entity/Q366071,University of Zielona Góra
http://www.wikidata.org/entity/Q367398,University of the Southern Caribbean
http://www.wikidata.org/entity/Q367774,Oklahoma Baptist University
http://www.wikidata.org/entity/Q458530,Burapha University
http://www.wikidata.org/entity/Q458666,Gheorghe Asachi Technical University of Iași
http://www.wikidata.org/entity/Q461033,Guizhou University
http://www.wikidata.org/entity/Q461322,Guilin University of Electronic Technology
http://www.wikidata.org/entity/Q462039,University of Ingolstadt
http://www.wikidata.org/entity/Q569243,Universiti Brunei Darussalam
http://www.wikidata.org/entity/Q572430,Capella University
http://www.wikidata.org/entity/Q573061,Budapest Business School
http://www.wikidata.org/entity/Q573894,Atlantic University College
http://www.wikidata.org/entity/Q573954,University of Limerick
http://www.wikidata.org/entity/Q574586,Murray State University
http://www.wikidata.org/entity/Q49124,Radcliffe College
http://www.wikidata.org/entity/Q2120270,Northwest Normal University
http://www.wikidata.org/entity/Q2120374,Universidad Católica Santo Domingo
http://www.wikidata.org/entity/Q2120406,Pontifical Institute of Christian Archaeology
http://www.wikidata.org/entity/Q2121551,Kamianets-Podilskyi Ivan Ohiienko National University
http://www.wikidata.org/entity/Q2121637,Baku Slavic University
http://www.wikidata.org/entity/Q2124886,Roosevelt University
http://www.wikidata.org/entity/Q574606,Université libre de Bruxelles
http://www.wikidata.org/entity/Q578023,University of Toulouse
http://www.wikidata.org/entity/Q534845,Takushoku University
http://www.wikidata.org/entity/Q536280,National University of Laos
http://www.wikidata.org/entity/Q536709,Angelo State University
http://www.wikidata.org/entity/Q538452,Babeș-Bolyai University
http://www.wikidata.org/entity/Q539575,"Monterrey Institute of Technology and Higher Education, Morelia"
http://www.wikidata.org/entity/Q539682,Universidad España
http://www.wikidata.org/entity/Q540231,Reichsuniversität Straßburg
http://www.wikidata.org/entity/Q540341,University of Sfax
http://www.wikidata.org/entity/Q179146,Princess of Naradhiwas University
http://www.wikidata.org/entity/Q179640,Catholic Private University Linz
http://www.wikidata.org/entity/Q181177,Cranfield University
http://www.wikidata.org/entity/Q181918,Rajamangala University of Technology
http://www.wikidata.org/entity/Q182118,National Research University of Electronic Technology
http://www.wikidata.org/entity/Q549311,Universidad Autónoma de Asunción
http://www.wikidata.org/entity/Q550263,University of Piraeus
http://www.wikidata.org/entity/Q553064,International Budo University
http://www.wikidata.org/entity/Q42238,University of Kurdistan
http://www.wikidata.org/entity/Q43337,Xavier University – Ateneo de Cagayan
http://www.wikidata.org/entity/Q43402,National Formosa University
http://www.wikidata.org/entity/Q43658,Lviv University of Trade and Economics
http://www.wikidata.org/entity/Q43659,Lesya Ukrainka Volyn National University
http://www.wikidata.org/entity/Q45312,King Edward Medical University
http://www.wikidata.org/entity/Q45612,University of Limpopo
http://www.wikidata.org/entity/Q45694,Jesuit University of Philosophy and Education Ignatianum
http://www.wikidata.org/entity/Q1404948,University of Landshut
http://www.wikidata.org/entity/Q1406935,Koforidua Technical University
http://www.wikidata.org/entity/Q1407397,Open University of the Netherlands
http://www.wikidata.org/entity/Q1407897,Ferris State University
http://www.wikidata.org/entity/Q1411093,St. Lawrence University
http://www.wikidata.org/entity/Q1411222,George Mason University
http://www.wikidata.org/entity/Q49212,Texas A&M University
http://www.wikidata.org/entity/Q51841,Shanghai Maritime University
http://www.wikidata.org/entity/Q53122,Pusan National University
http://www.wikidata.org/entity/Q1420239,Temple University
http://www.wikidata.org/entity/Q1421182,Multimedia University
http://www.wikidata.org/entity/Q1421868,University of Veterinary Medicine in Košice
http://www.wikidata.org/entity/Q1422458,University of Bath
